STATE_UT,DISTRICT,YEAR,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES,STATES_UTS,ATTEMPT_TO_COMMIT_MURDER,ATTEMPT_TO_COMMIT_CULPABLE_HOMICIDE,CUSTODIAL_GANG_RAPE,CUSTODIAL_OTHER_RAPE,RAPE_OTHER_THAN_CUSTODIAL,RAPE_GANG_RAPE,RAPE_OTHERS,ATTEMPT_TO_COMMIT_RAPE,KIDNAPPING_ABDUCTION_TOTAL,KIDNAPPING_ABDUCTION_IN_ORDER_TO_MURDER,KIDNAPPING_FOR_RANSOM,KIDNAPPING_ABDUCTION_OF_WOMEN_TO_COMPEL_HER_FOR_MARRIAGE,OTHER_KIDNAPPING,DACOITY_WITH_MURDER,OTHER_DACOITY,MAKING_PREPARATION_AND_ASSEMBLY_FOR_COMMITTING_DACOITY,CRIMINAL_TRESPASS_BURGLARY,CRIMINAL_TRESPASS_OR_BURGLARY,HOUSE_TRESPASS_HOUSE_BREAKING,OTHER_THEFTS,UNLAWFUL_ASSEMBLY,RIOTS_COMMUNAL,RIOTS_INDUSTRIAL,RIOTS_POLITICAL,RIOTS_CASTE_CONFLICT,RIOTS_SC_STS_VS_NON_SCS_STS,RIOTS_OTHER_CASTE_CONFLICT,RIOTS_AGRARIAN,RIOTS_STUDENTS,RIOTS_SECTARIAN,RIOTS_OTHERS,FORGERY,COUNTERFEITING,COUNTERFEIT_OFFENCES_RELATED_TO_COUNTERFEIT_COIN,COUNTERFEITING_GOVERNMENT_STAMP,COUNTERFEIT_CURRENCY_BANK_NOTES,COUNTERFEITING_CURRENCY_NOTES_BANK_NOTES,USING_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,POSSESSION_OF_FORGED_OR_COUNTERFEITING_CURRENCY_BANK_NOTES,MAKING_OR_POSSESSING_MATERIALS_FOR_FORGED_CURRENCY_BANK_NOTES,MAKING_OR_USING_DOCUMENTS_RESEMBLING_CURRENCY,GRIEVOUS_HURT,HURT,ACID_ATTACK,ATTEMPT_TO_ACID_ATTACK,SEXUAL_HARASSMENT,ASSAULT_OR_USE_OF_CRIMINAL_FORCE_TO_WOMEN_WITH_INTENT_TO_DISROBE,VOYEURISM,STALKING,OTHER_ASSAULT_ON_WOMEN,INSULT_TO_THE_MODESTY_OF_WOMEN,AT_OFFICE_PREMISES,OTHER_PLACES_RELATED_TO_WORK,IN_PUBLIC_TRANSPORT_SYSTEM,"PLACES_OTHER_THAN_231,_232_233",IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRY,DEATHS_DUE_TO_NEGLIGENT_DRIVING_ACT,DEATHS_DUE_TO_OTHER_CAUSES,OFFENCES_AGAINST_STATE,SEDITION,OTHER_OFFENCES_AGAINST_STATE,OFFENCES_PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,PROMOTING_ENMITY_BETWEEN_DIFFERENT_GROUPS,"IMPUTATION,_ASSERTIONS_PREJUDICIAL_TO_NATIONAL_INTEGRATION",EXTORTION,DISCLOSURE_OF_IDENTITY_OF_VICTIMS,INCIDENCE_OF_RASH_DRIVING,HUMANTRAFFICKING,UNNATURAL_OFFENCE,TOTAL_COGNIZABLE_IPC_CRIMES,TOTAL_CRIMES,CRIME_YOY_CHANGE,CRIME_3YR_AVG,RISK_LABEL,RISK_CODE,DISTRICT_ENCODED,LAT,LON,VIOLENT_CRIME_INDEX,WOMEN_CRIME_INDEX,PROPERTY_CRIME_INDEX,IS_SPIKE,DISTRICT_NORM,DISTRICT_CENSUS,POPULATION,POP_MALE,POP_FEMALE,POP_URBAN,POP_RURAL,POP_SC,POP_ST,LITERATE,WORKERS_TOTAL,LITERACY_RATE,SEX_RATIO,URBANIZATION_RATE,SC_PERCENTAGE,ST_PERCENTAGE,WORKER_PARTICIPATION,VULNERABILITY_INDEX,MURDER_PER_LAKH,RAPE_PER_LAKH,KIDNAPPING_ABDUCTION_PER_LAKH,TOTAL_CRIMES_PER_LAKH,THEFT_PER_LAKH,BURGLARY_PER_LAKH,DOWRY_DEATHS_PER_LAKH,VIOLENT_CRIME_INDEX_PER_LAKH,WOMEN_CRIME_INDEX_PER_LAKH,PROPERTY_CRIME_INDEX_PER_LAKH
KARNATAKA,BAGALKOT,2001,59,34.0,10,2,0,2.0,17,7.0,10.0,2,0.0,3,47.0,105,27,78.0,218,6,18,2.0,12,315.0,1,39,0.0,50,0.0,0,770,1710.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3544.0,0.0,3544.0,LOW,0,0,16.1691,75.6966,83,92,203.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,3.12,0.11,0.9,187.54,5.56,2.49,0.05,4.39,4.87,10.74
KARNATAKA,BAGALKOT,2002,51,38.0,2,4,0,4.0,17,7.0,10.0,2,0.0,1,74.0,147,35,112.0,209,11,28,1.0,6,363.0,2,53,1.0,63,0.0,0,842,1915.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3998.0,12.81,3771.0,LOW,0,0,16.1691,75.6966,75,122,295.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,2.7,0.21,0.9,211.56,7.78,3.92,0.11,3.97,6.46,15.61
KARNATAKA,BAGALKOT,2003,50,28.0,6,12,0,12.0,16,11.0,5.0,1,0.0,7,84.0,112,39,73.0,180,4,20,2.0,17,342.0,2,44,0.0,45,0.0,0,979,1951.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4042.0,1.1,3861.3,LOW,0,0,16.1691,75.6966,86,103,259.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,2.65,0.64,0.85,213.89,5.93,4.45,0.11,4.55,5.45,13.71
KARNATAKA,BAGALKOT,2004,38,39.0,1,3,0,3.0,24,14.0,10.0,7,12.0,11,89.0,134,37,97.0,189,12,23,0.0,15,336.0,2,40,0.0,54,0.0,0,1009,2038.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4237.0,4.82,4092.3,LOW,0,0,16.1691,75.6966,83,99,295.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,2.01,0.16,1.27,224.21,7.09,4.71,0.11,4.39,5.24,15.61
KARNATAKA,BAGALKOT,2005,43,28.0,2,4,0,4.0,15,4.0,11.0,17,9.0,9,97.0,128,47,81.0,204,6,34,1.0,9,324.0,1,43,4.0,68,0.0,0,1037,2083.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4313.0,1.79,4197.3,LOW,0,0,16.1691,75.6966,88,116,312.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,2.28,0.21,0.79,228.23,6.77,5.13,0.05,4.66,6.14,16.51
KARNATAKA,BAGALKOT,2006,35,25.0,1,12,0,12.0,20,13.0,7.0,5,6.0,20,85.0,128,32,96.0,147,11,37,3.0,7,276.0,3,45,1.0,59,0.0,0,1136,2062.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4284.0,-0.67,4278.0,LOW,0,0,16.1691,75.6966,92,119,293.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,1.85,0.64,1.06,226.7,6.77,4.5,0.16,4.87,6.3,15.5
KARNATAKA,BAGALKOT,2007,38,24.0,3,4,0,4.0,27,17.0,10.0,8,3.0,11,60.0,125,41,84.0,123,4,44,5.0,15,245.0,2,51,3.0,70,0.0,0,1179,2044.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4244.0,-0.93,4280.3,LOW,0,0,16.1691,75.6966,88,127,274.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,2.01,0.21,1.43,224.58,6.61,3.18,0.11,4.66,6.72,14.5
KARNATAKA,BAGALKOT,2008,43,26.0,0,2,0,2.0,22,15.0,7.0,1,1.0,8,68.0,128,52,76.0,175,9,45,3.0,3,222.0,6,62,2.0,56,0.0,0,1166,2048.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4248.0,0.09,4258.7,LOW,0,0,16.1691,75.6966,76,126,302.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,2.28,0.11,1.16,224.79,6.77,3.6,0.32,4.02,6.67,15.98
KARNATAKA,BAGALKOT,2009,41,35.0,2,8,0,8.0,18,9.0,9.0,0,0.0,9,94.0,134,62,72.0,144,7,58,6.0,6,252.0,7,59,0.0,58,0.0,0,1192,2130.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4420.0,4.05,4304.0,LOW,0,0,16.1691,75.6966,76,132,355.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,2.17,0.42,0.95,233.89,7.09,4.97,0.37,4.02,6.99,18.79
KARNATAKA,BAGALKOT,2010,51,28.0,0,9,0,9.0,11,6.0,5.0,0,0.0,24,92.0,149,71,78.0,164,8,46,1.0,4,244.0,5,67,0.0,59,0.0,0,1227,2189.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4547.0,2.87,4405.0,LOW,0,0,16.1691,75.6966,95,140,366.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,2.7,0.48,0.58,240.61,7.88,4.87,0.26,5.03,7.41,19.37
KARNATAKA,BAGALKOT,2011,37,39.0,2,15,0,15.0,15,9.0,6.0,5,0.0,16,102.0,141,77,64.0,188,11,62,1.0,6,244.0,0,38,0.0,58,0.0,0,1275,2255.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4681.0,2.95,4549.3,LOW,0,0,16.1691,75.6966,88,111,393.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,1.96,0.79,0.79,247.7,7.46,5.4,0.0,4.66,5.87,20.8
KARNATAKA,BAGALKOT,2012,51,43.0,1,11,0,11.0,17,14.0,3.0,7,0.0,18,91.0,130,73,57.0,221,6,72,0.0,4,235.0,6,63,0.0,72,2.0,0,1247,2297.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4752.0,1.52,4660.0,LOW,0,0,16.1691,75.6966,104,152,372.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,2.7,0.58,0.9,251.46,6.88,4.82,0.32,5.5,8.04,19.69
Karnataka,BAGALKOT,2013,52,33.0,1,30,0,30.0,18,11.0,7.0,9,5.0,22,147.0,197,113,84.0,292,4,84,0.0,7,231.0,3,86,2.0,46,0.0,0,1071,2340.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4925.0,3.64,4786.0,LOW,0,0,16.1691,75.6966,131,165,545.0,0,BAGALKOT,BAGALKOT,1889752.0,950111.0,939641.0,0.0,0.0,319149.0,97203.0,1113412.0,818081.0,58.92,989.0,0.0,16.89,5.14,43.29,53.04,2.75,1.59,0.95,260.62,10.42,7.78,0.16,6.93,8.73,28.84
KARNATAKA,BANGALORE COMMR.,2001,221,327.0,5,40,0,40.0,152,56.0,96.0,31,25.0,284,2108.0,6293,2401,3892.0,298,258,1708,79.0,3,3735.0,40,223,51.0,229,0.0,38,11106,27254.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60993.0,0.0,60993.0,MEDIUM,1,1,,,728,532,12768.0,0,BANGALORE COMMR.,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA,BANGALORE COMMR.,2002,201,311.0,4,32,0,32.0,159,58.0,101.0,27,47.0,365,2084.0,7081,2754,4327.0,284,180,1788,107.0,1,4029.0,33,237,62.0,242,0.0,45,11801,29120.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65512.0,7.41,63252.5,MEDIUM,1,1,,,784,544,13887.0,0,BANGALORE COMMR.,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA,BANGALORE COMMR.,2003,216,280.0,1,34,0,34.0,132,11.0,121.0,46,46.0,311,1713.0,7123,2682,4441.0,273,241,1780,87.0,0,3847.0,34,213,39.0,213,0.0,84,12547,29260.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65809.0,0.45,64104.7,MEDIUM,1,1,,,739,494,13539.0,0,BANGALORE COMMR.,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA,BANGALORE COMMR.,2004,214,285.0,2,32,0,32.0,175,61.0,114.0,37,73.0,455,1874.0,8241,3205,5036.0,323,145,1534,22.0,3,3542.0,44,151,35.0,227,0.0,104,11008,28526.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65500.0,-0.47,65607.0,MEDIUM,1,1,,,913,454,14999.0,0,BANGALORE COMMR.,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA,BANGALORE COMMR.,2005,242,282.0,5,38,0,38.0,131,25.0,106.0,35,82.0,594,1771.0,9617,3753,5864.0,377,172,1633,90.0,5,3474.0,39,167,39.0,287,0.0,93,9869,29042.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67870.0,3.62,66393.0,MEDIUM,1,1,,,1040,531,16946.0,0,BANGALORE COMMR.,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA,BANGALORE COMMR.,2006,218,324.0,7,33,0,33.0,99,29.0,70.0,37,204.0,647,1666.0,7354,3501,3853.0,710,192,1554,55.0,5,2640.0,50,143,2.0,290,0.0,113,9941,26284.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60054.0,-11.52,64474.7,MEDIUM,1,1,,,1034,516,14267.0,0,BANGALORE COMMR.,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA,BANGALORE COMMR.,2007,246,264.0,7,62,1,61.0,119,35.0,84.0,41,203.0,545,1485.0,7377,3667,3710.0,425,183,2052,45.0,2,2381.0,54,187,2.0,290,0.0,110,10969,27049.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61656.0,2.67,63193.3,MEDIUM,1,1,,,1013,593,14764.0,0,BANGALORE COMMR.,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA,BANGALORE COMMR.,2008,253,297.0,8,54,0,54.0,159,2.0,157.0,88,203.0,702,1787.0,9681,5605,4076.0,348,190,2025,49.0,10,2497.0,52,179,1.0,307,0.0,126,10648,29664.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69222.0,12.27,63644.0,MEDIUM,1,1,,,1256,592,19288.0,0,BANGALORE COMMR.,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARNATAKA,BANGALORE COMMR.,2009,256,338.0,1,65,0,65.0,270,2.0,268.0,41,278.0,743,1592.0,11730,7074,4656.0,337,214,3007,65.0,8,2653.0,50,251,35.0,367,0.0,87,9992,32380.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76825.0,10.98,69234.3,MEDIUM,1,1,,,1375,733,23617.0,0,BANGALORE COMMR.,,,,,,,,,,,,,,,,,,,,,,,,,,,
